10-20 Hrs,Undertale Yellow,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stop
